"eski_yol","yeni_yol","durum","neden"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\index.html","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\site\index.html","aktif","Tek aktif giris dosyasi"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\css\style2.css","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\site\css\base.css","yeniden-adlandirildi","Reset, temel degiskenler ve taban stiller"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\css\style1.css","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\site\css\ui-components.css","yeniden-adlandirildi","Genel arayuz komponentleri ve responsive stiller"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\css\tahmisci-theme.css","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\site\css\tahmisci-theme.css","aktif","Tahmisci tema katmani"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\js\script4.js","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\site\js\site-core.js","yeniden-adlandirildi","Uygulama konfig ve yardimci cekirdek"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\js\tahmisci-recipe-data.js","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\site\js\recipe-data.js","yeniden-adlandirildi","Recete detay veri kaynagi"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\js\tahmisci-menu.js","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\site\js\menu-catalog.js","yeniden-adlandirildi","Aktif menu katalog ve loader katmani"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\js\script6.js","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\site\js\i18n.js","yeniden-adlandirildi","Dil metinleri"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\js\script11.js","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\site\js\swipe-modal.js","yeniden-adlandirildi","Mobil modal kaydirma kontrolu"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\js\script2.js","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\site\js\main-runtime.js","yeniden-adlandirildi","Ana runtime ve menu davranislari"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\assets\tahmisci\logo.png","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\site\assets\images\brand\logo.png","aktif","Marka logosu"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\assets\tahmisci\favicon.png","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\site\assets\images\brand\favicon.png","aktif","Favicon ve ikon"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\assets\tahmisci\favicon.png","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\site\assets\images\icons\cart.png","aktif","Eksik eski cart yoluna guvenli ikon kopyasi"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\assets\tahmisci\about.jpg","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\site\assets\images\about\about.jpg","aktif","Hakkimizda gorseli"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\assets\tahmisci\hero-1.jpg","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\site\assets\images\hero\hero-1.jpg","aktif","Hero gorseli"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\assets\tahmisci\hero-2.jpg","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\site\assets\images\hero\hero-2.jpg","aktif","Hero gorseli"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\assets\tahmisci\hero-3.jpg","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\site\assets\images\hero\hero-3.jpg","aktif","Hero gorseli"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\assets\tahmisci\product-1.jpg","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\site\assets\images\products\product-1.jpg","aktif","Urun placeholder/gorsel havuzu"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\assets\tahmisci\product-2.jpg","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\site\assets\images\products\product-2.jpg","aktif","Urun placeholder/gorsel havuzu"
